sector_name_vi,growth_rate_2024_pct,labor_share_pct,spillover_coef_0_1,export_billion_USD,ai_readiness_0_100,automation_risk_pct
Nông-Lâm-Thủy sản,0.40161725067385445,1.0,0.08064516129032255,0.13922310072189756,0.0,1.0
Công nghiệp chế biến chế tạo,0.9739442946990118,0.8687258687258688,0.7741935483870968,1.0,0.547945205479452,0.35135135135135137
Xây dựng,0.7771787960467207,0.3474903474903475,0.19354838709677416,0.008594018563080097,0.0684931506849315,0.8108108108108109
Khai khoáng,0.0,0.0,0.0,0.028188380886902717,0.2054794520547945,0.0
Bán buôn-bán lẻ,0.7457322551662174,0.5830115830115831,0.40322580645161293,0.018906840838776213,0.4520547945205479,0.4594594594594595
Tài chính-Ngân hàng-Bảo hiểm,0.7690925426774484,0.01930501930501931,0.8870967741935483,0.004125128910278446,0.7808219178082192,0.08108108108108109
Logistics-Vận tải-Kho bãi,1.0,0.1274131274131274,0.6774193548387095,0.010656583018219321,0.3698630136986301,0.5405405405405406
Thông tin-Truyền thông-CNTT,0.8131176999101527,0.023166023166023165,1.0,0.6118941216913029,1.0,0.7297297297297297
Giáo dục-Đào tạo,0.6846361185983828,0.14285714285714285,0.564516129032258,0.0,0.3150684931506849,0.8918918918918919
Y tế-Chăm sóc sức khỏe,0.7232704402515723,0.03474903474903475,0.4838709677419354,0.0,0.410958904109589,1.0
